key,value,date
GAY,0.00,1985
GAY,0.00,1986
GAY,0.00,1987
GAY,0.50,1988
GAY,0.25,1989
GAY,1.00,1990
GAY,1.00,1991
GAY,0.25,1992
GAY,0.67,1993
GAY,1.00,1994
GAY,0.89,1995
GAY,0.67,1996
GAY,0.58,1997
GAY,1.00,1998
GAY,0.50,1999
GAY,0.30,2000
GAY,0.53,2001
GAY,0.36,2002
GAY,0.50,2003
GAY,0.52,2004
GAY,0.60,2005
GAY,0.50,2006
GAY,0.30,2007
GAY,0.48,2008
GAY,0.40,2009
GAY,0.40,2010
GAY,0.00,2011
GAY,0.29,2012
GAY,0.50,2013
GAY,0.40,2014
GAY,0.38,2015
GAY,0.20,2016
LESBIAN,0.00,1985
LESBIAN,1.00,1986
LESBIAN,0.00,1987
LESBIAN,0.50,1988
LESBIAN,0.50,1989
LESBIAN,0.00,1990
LESBIAN,0.00,1991
LESBIAN,0.50,1992
LESBIAN,0.00,1993
LESBIAN,0.00,1994
LESBIAN,0.11,1995
LESBIAN,0.00,1996
LESBIAN,0.42,1997
LESBIAN,0.00,1998
LESBIAN,0.42,1999
LESBIAN,0.40,2000
LESBIAN,0.06,2001
LESBIAN,0.00,2002
LESBIAN,0.30,2003
LESBIAN,0.13,2004
LESBIAN,0.16,2005
LESBIAN,0.50,2006
LESBIAN,0.60,2007
LESBIAN,0.15,2008
LESBIAN,0.27,2009
LESBIAN,0.29,2010
LESBIAN,0.50,2011
LESBIAN,0.50,2012
LESBIAN,0.39,2013
LESBIAN,0.40,2014
LESBIAN,0.50,2015
LESBIAN,0.60,2016
BI,0.00,1985
BI,0.00,1986
BI,0.00,1987
BI,0.00,1988
BI,0.25,1989
BI,0.00,1990
BI,0.00,1991
BI,0.25,1992
BI,0.33,1993
BI,0.00,1994
BI,0.00,1995
BI,0.33,1996
BI,0.00,1997
BI,0.00,1998
BI,0.08,1999
BI,0.30,2000
BI,0.41,2001
BI,0.64,2002
BI,0.20,2003
BI,0.35,2004
BI,0.20,2005
BI,0.00,2006
BI,0.10,2007
BI,0.36,2008
BI,0.33,2009
BI,0.31,2010
BI,0.50,2011
BI,0.21,2012
BI,0.11,2013
BI,0.10,2014
BI,0.13,2015
BI,0.00,2016
TRANS,0.00,1985
TRANS,0.00,1986
TRANS,0.00,1987
TRANS,1.00,1988
TRANS,0.50,1989
TRANS,0.50,1990
TRANS,0.00,1991
TRANS,0.00,1992
TRANS,0.33,1993
TRANS,0.00,1994
TRANS,0.00,1995
TRANS,0.00,1996
TRANS,0.50,1997
TRANS,0.00,1998
TRANS,0.00,1999
TRANS,0.20,2000
TRANS,0.63,2001
TRANS,0.00,2002
TRANS,0.43,2003
TRANS,0.50,2004
TRANS,0.33,2005
TRANS,0.00,2006
TRANS,0.00,2007
TRANS,0.60,2008
TRANS,0.00,2009
TRANS,0.00,2010
TRANS,0.33,2011
TRANS,0.00,2012
TRANS,1.00,2013
TRANS,0.50,2014
TRANS,0.20,2015
TRANS,0.50,2016
NB,1.00,1985
NB,0.00,1986
NB,0.00,1987
NB,0.00,1988
NB,0.00,1989
NB,0.00,1990
NB,0.00,1991
NB,0.00,1992
NB,0.00,1993
NB,0.00,1994
NB,0.33,1995
NB,0.00,1996
NB,0.00,1997
NB,0.00,1998
NB,0.00,1999
NB,0.20,2000
NB,0.00,2001
NB,0.29,2002
NB,0.00,2003
NB,0.00,2004
NB,0.00,2005
NB,0.67,2006
NB,1.00,2007
NB,0.00,2008
NB,1.00,2009
NB,0.33,2010
NB,0.00,2011
NB,1.00,2012
NB,0.00,2013
NB,0.25,2014
NB,0.80,2015
NB,0.50,2016
NC,0.00,1985
NC,0.00,1986
NC,0.00,1987
NC,0.00,1988
NC,0.50,1989
NC,0.50,1990
NC,0.00,1991
NC,1.00,1992
NC,0.67,1993
NC,0.00,1994
NC,0.67,1995
NC,1.00,1996
NC,0.50,1997
NC,0.00,1998
NC,1.00,1999
NC,0.60,2000
NC,0.38,2001
NC,0.71,2002
NC,0.57,2003
NC,0.50,2004
NC,0.67,2005
NC,0.33,2006
NC,0.00,2007
NC,0.40,2008
NC,0.00,2009
NC,0.67,2010
NC,0.67,2011
NC,0.00,2012
NC,0.00,2013
NC,0.25,2014
NC,0.00,2015
NC,0.00,2016